batter,total_balls_faced,total_matches,total_runs,total_dismissals,run_rate,strike_rate,avg_runs_per_ball,std_dev_runs_per_ball,dismissal_rate_per_100,boundary_percentage,dot_ball_percentage,avg_runs_on_dismissal,consistency_score,powerplay_balls_faced,powerplay_total_runs,powerplay_dismissals,powerplay_run_rate,powerplay_strike_rate,powerplay_avg_runs_per_ball,powerplay_std_dev_runs_per_ball,powerplay_dismissal_rate_per_100,powerplay_boundary_percentage,powerplay_dot_ball_percentage,powerplay_consistency_score
S Dube,738,40,1112,32,1.507,150.68,1.507,1.908,4.34,19.24,35.5,2.34,23.89,8,8,0,1.0,100.0,1.0,1.414,0.0,12.5,50.0,29.29
VR Iyer,709,40,962,35,1.357,135.68,1.357,1.757,4.94,18.62,40.34,2.27,25.43,290,380,15,1.31,131.03,1.31,1.855,5.17,21.72,51.72,19.72
DA Miller,701,39,977,24,1.394,139.37,1.394,1.671,3.42,16.69,31.53,2.04,30.18,23,22,1,0.957,95.65,0.957,1.522,4.35,17.39,60.87,22.21
MP Stoinis,685,40,972,34,1.419,141.9,1.419,1.841,4.96,19.42,38.69,2.31,23.89,133,179,4,1.346,134.59,1.346,1.809,3.01,23.31,50.38,22.87
WP Saha,683,37,824,34,1.206,120.64,1.206,1.576,4.98,18.01,43.19,2.12,28.57,498,634,24,1.273,127.31,1.273,1.724,4.82,21.49,48.39,24.16
AK Markram,677,37,864,29,1.276,127.62,1.276,1.522,4.28,13.88,30.58,1.84,33.15,121,114,5,0.942,94.21,0.942,1.434,4.13,13.22,52.89,26.19
DP Conway,669,22,924,20,1.381,138.12,1.381,1.66,2.99,19.43,35.43,2.14,30.3,312,392,7,1.256,125.64,1.256,1.662,2.24,19.23,45.19,26.32
Q de Kock,652,31,905,31,1.388,138.8,1.388,1.742,4.75,19.48,38.04,2.24,27.07,353,470,19,1.331,133.14,1.331,1.814,5.38,20.68,47.03,22.2
R Parag,613,36,838,30,1.367,136.7,1.367,1.756,4.89,16.97,36.38,2.15,25.83,45,54,1,1.2,120.0,1.2,1.817,2.22,22.22,55.56,17.43
RA Tripathi,612,34,853,30,1.394,139.38,1.394,1.745,4.9,20.1,38.24,2.26,27.11,253,338,15,1.336,133.6,1.336,1.798,5.93,22.13,47.04,23.04
N Rana,605,31,827,29,1.367,136.69,1.367,1.799,4.79,19.5,41.16,2.32,24.0,157,200,4,1.274,127.39,1.274,1.838,2.55,22.29,54.78,19.15
SS Iyer,605,29,849,22,1.403,140.33,1.403,1.695,3.64,18.84,35.04,2.16,29.47,156,203,5,1.301,130.13,1.301,1.64,3.21,21.15,45.51,28.74
D Padikkal,593,36,685,36,1.155,115.51,1.155,1.575,6.07,16.19,44.52,2.08,26.94,210,230,11,1.095,109.52,1.095,1.64,5.24,18.1,54.76,21.73
RK Singh,585,33,828,23,1.415,141.54,1.415,1.76,3.93,18.12,35.21,2.18,27.15,26,36,0,1.385,138.46,1.385,1.941,0.0,23.08,46.15,18.62
H Klaasen,569,27,961,22,1.689,168.89,1.689,1.893,3.87,21.09,26.19,2.29,29.59,26,49,1,1.885,188.46,1.885,1.925,3.85,30.77,26.92,33.26
AM Rahane,556,31,757,31,1.362,136.15,1.362,1.681,5.58,17.81,36.33,2.14,28.82,290,401,10,1.383,138.28,1.383,1.823,3.45,21.38,45.17,23.49
DJ Hooda,545,36,683,34,1.253,125.32,1.253,1.529,6.24,14.31,34.13,1.9,32.16,133,148,6,1.113,111.28,1.113,1.541,4.51,15.79,48.12,27.08
RR Pant,536,27,786,25,1.466,146.64,1.466,1.818,4.66,20.9,36.19,2.3,26.31,53,81,1,1.528,152.83,1.528,1.918,1.89,28.3,43.4,24.16
AR Patel,532,36,722,23,1.357,135.71,1.357,1.712,4.32,17.11,36.09,2.12,27.37,34,43,1,1.265,126.47,1.265,1.675,2.94,20.59,44.12,26.03
SO Hetmyer,524,38,768,22,1.466,146.56,1.466,1.9,4.2,18.7,37.98,2.36,22.93,5,7,0,1.4,140.0,1.4,2.608,0.0,20.0,60.0,-8.65
LS Livingstone,523,31,842,25,1.61,160.99,1.61,1.993,4.78,22.94,35.56,2.5,23.62,65,99,5,1.523,152.31,1.523,1.993,7.69,26.15,47.69,21.01
A Badoni,510,36,638,27,1.251,125.1,1.251,1.552,5.29,13.73,36.08,1.96,31.06,38,18,3,0.474,47.37,0.474,0.979,7.89,5.26,71.05,33.56
AD Russell,506,36,788,28,1.557,155.73,1.557,2.095,5.53,23.32,45.45,2.86,18.07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM Sharma,501,36,730,32,1.457,145.71,1.457,1.859,6.39,19.56,38.32,2.36,24.33,16,11,2,0.688,68.75,0.688,1.352,12.5,12.5,68.75,19.85
KD Karthik,489,42,796,27,1.628,162.78,1.628,1.939,5.52,23.72,34.56,2.49,26.22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM Patidar,485,21,762,21,1.571,157.11,1.571,1.941,4.33,21.65,35.46,2.43,24.52,116,150,1,1.293,129.31,1.293,1.73,0.86,23.28,49.14,24.57
P Simran Singh,480,30,711,31,1.481,148.12,1.481,1.93,6.46,23.75,45.0,2.69,22.23,327,474,18,1.45,144.95,1.45,1.932,5.5,25.38,50.15,21.13
C Green,472,28,707,20,1.498,149.79,1.498,1.738,4.24,19.92,30.51,2.16,30.44,124,196,4,1.581,158.06,1.581,1.835,3.23,27.42,38.71,28.89
GJ Maxwell,456,37,753,32,1.651,165.13,1.651,1.993,7.02,25.0,37.5,2.64,24.82,97,161,5,1.66,165.98,1.66,1.978,5.15,29.9,42.27,25.62
RA Jadeja,452,34,590,23,1.305,130.53,1.305,1.526,5.09,13.72,30.09,1.87,33.82,13,8,1,0.615,61.54,0.615,1.121,7.69,7.69,61.54,30.61
SM Curran,452,26,550,22,1.217,121.68,1.217,1.526,4.87,13.94,36.5,1.92,31.15,54,55,1,1.019,101.85,1.019,1.407,1.85,12.96,44.44,30.28
MA Agarwal,445,26,530,26,1.191,119.1,1.191,1.551,5.84,16.4,42.25,2.06,29.19,292,350,13,1.199,119.86,1.199,1.621,4.45,18.49,47.6,26.28
KH Pandya,434,38,504,26,1.161,116.13,1.161,1.48,5.99,12.44,40.32,1.95,31.51,44,48,3,1.091,109.09,1.091,1.552,6.82,18.18,56.82,25.75
Shahbaz Ahmed,419,30,485,23,1.158,115.75,1.158,1.539,5.49,11.46,38.42,1.88,28.68,18,7,3,0.389,38.89,0.389,0.608,16.67,0.0,66.67,56.25
PD Salt,417,22,709,21,1.7,170.02,1.7,1.974,5.04,28.54,37.89,2.74,26.88,266,453,12,1.703,170.3,1.703,2.037,4.51,30.08,42.86,24.64
TH David,414,34,658,22,1.589,158.94,1.589,1.924,5.31,20.29,33.33,2.38,25.71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Shaw,408,26,587,26,1.439,143.87,1.439,1.761,6.37,24.26,41.91,2.48,27.78,308,435,17,1.412,141.23,1.412,1.76,5.52,25.32,45.45,27.05
SP Narine,388,34,624,28,1.608,160.82,1.608,2.092,7.22,27.32,46.91,3.03,19.77,200,309,9,1.545,154.5,1.545,2.066,4.5,27.5,51.0,18.81
MM Ali,380,25,496,22,1.305,130.53,1.305,1.739,5.79,17.89,40.53,2.19,24.55,100,152,4,1.52,152.0,1.52,2.032,4.0,28.0,52.0,19.35
JM Bairstow,377,22,551,21,1.462,146.15,1.462,1.835,5.57,23.87,41.11,2.48,25.46,227,350,10,1.542,154.19,1.542,1.896,4.41,27.75,43.17,25.41
MR Marsh,368,22,512,20,1.391,139.13,1.391,1.864,5.43,20.38,42.66,2.43,22.04,181,266,10,1.47,146.96,1.47,1.99,5.52,24.31,48.62,19.41
R Tewatia,358,32,498,19,1.391,139.11,1.391,1.748,5.31,19.83,37.99,2.24,26.88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT Rayudu,345,23,432,20,1.252,125.22,1.252,1.746,5.8,17.1,42.61,2.18,22.46,51,39,1,0.765,76.47,0.765,1.544,1.96,11.76,68.63,12.51
MS Dhoni,345,36,497,15,1.441,144.06,1.441,1.919,4.35,20.58,42.61,2.51,21.36,7,6,0,0.857,85.71,0.857,1.574,0.0,14.29,71.43,15.27
TM Head,341,16,634,15,1.859,185.92,1.859,2.036,4.4,31.67,33.72,2.81,28.8,214,448,6,2.093,209.35,2.093,2.136,2.8,38.79,34.11,30.94
V Shankar,310,21,403,17,1.3,130.0,1.3,1.658,5.48,16.77,37.74,2.09,27.93,77,78,4,1.013,101.3,1.013,1.56,5.19,15.58,54.55,22.5
M Shahrukh Khan,296,28,406,19,1.372,137.16,1.372,1.87,6.42,18.24,41.55,2.35,21.17,12,23,0,1.917,191.67,1.917,1.782,0.0,25.0,8.33,38.92
Shashank Singh,289,20,467,11,1.616,161.59,1.616,1.888,3.81,22.84,31.83,2.37,27.83,28,34,1,1.214,121.43,1.214,1.572,3.57,21.43,46.43,29.01
KR Mayers,276,13,379,13,1.373,137.32,1.373,1.932,4.71,21.74,51.09,2.81,18.59,217,282,8,1.3,129.95,1.3,1.878,3.69,21.66,55.3,18.35
Anuj Rawat,275,20,318,13,1.156,115.64,1.156,1.619,4.73,14.55,44.36,2.08,24.92,90,83,6,0.922,92.22,0.922,1.56,6.67,13.33,60.0,18.87
DJ Mitchell,274,15,351,13,1.281,128.1,1.281,1.469,4.74,13.87,29.93,1.83,35.59,80,97,2,1.212,121.25,1.212,1.532,2.5,16.25,40.0,30.76
Dhruv Jurel,274,23,417,14,1.522,152.19,1.522,1.802,5.11,20.44,31.75,2.23,28.55,11,22,0,2.0,200.0,2.0,2.145,0.0,36.36,36.36,28.51
R Ashwin,271,29,344,20,1.269,126.94,1.269,1.621,7.38,14.76,35.42,1.97,28.58,34,46,3,1.353,135.29,1.353,1.968,8.82,26.47,55.88,16.37
RR Rossouw,270,17,420,15,1.556,155.56,1.556,1.896,5.56,23.7,38.52,2.53,25.82,78,119,6,1.526,152.56,1.526,1.857,7.69,30.77,47.44,26.49
MK Pandey,266,16,290,17,1.09,109.02,1.09,1.419,6.39,12.41,40.23,1.82,32.1,71,68,6,0.958,95.77,0.958,1.487,8.45,15.49,54.93,24.02
KS Williamson,262,14,243,12,0.927,92.75,0.927,1.411,4.58,10.69,49.62,1.84,26.8,160,126,7,0.787,78.75,0.787,1.352,4.38,10.62,58.75,24.35
T Stubbs,262,18,439,10,1.676,167.56,1.676,1.903,3.82,21.37,27.1,2.3,28.87,11,12,1,1.091,109.09,1.091,1.514,9.09,18.18,45.45,27.61
N Wadhera,261,16,350,15,1.341,134.1,1.341,1.781,5.75,19.16,41.0,2.27,23.92,22,21,1,0.955,95.45,0.955,1.647,4.55,13.64,59.09,15.74
R Powell,254,22,360,20,1.417,141.73,1.417,1.958,7.87,19.29,43.7,2.52,19.01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Samad,251,22,355,17,1.414,141.43,1.414,1.834,6.77,18.73,37.85,2.28,24.04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abishek Porel,246,17,360,17,1.463,146.34,1.463,1.786,6.91,21.14,37.4,2.34,27.51,98,141,5,1.439,143.88,1.439,1.938,5.1,24.49,48.98,20.55
Nithish Kumar Reddy,238,12,333,10,1.399,139.92,1.399,1.82,4.2,17.23,36.55,2.21,24.14,43,37,1,0.86,86.05,0.86,1.424,2.33,6.98,53.49,23.46
MK Lomror,235,25,346,22,1.472,147.23,1.472,1.84,9.36,19.57,34.89,2.26,25.56,13,9,2,0.692,69.23,0.692,1.653,15.38,7.69,69.23,2.35
Rahmanullah Gurbaz,228,13,289,13,1.268,126.75,1.268,1.887,5.7,18.86,52.19,2.65,16.76,158,189,9,1.196,119.62,1.196,1.883,5.7,18.99,57.59,14.24
Lalit Yadav,226,16,237,13,1.049,104.87,1.049,1.446,5.75,11.95,43.81,1.87,29.42,32,25,0,0.781,78.12,0.781,1.263,0.0,9.38,59.38,29.08
PBB Rajapaksa,201,13,277,12,1.378,137.81,1.378,1.788,5.97,18.41,39.8,2.29,24.82,52,77,4,1.481,148.08,1.481,2.044,7.69,25.0,50.0,17.62
JJ Roy,196,8,285,8,1.454,145.41,1.454,1.857,4.08,24.49,42.86,2.54,24.32,126,177,3,1.405,140.48,1.405,1.877,2.38,26.19,50.79,21.95
R Ravindra,193,11,287,9,1.487,148.7,1.487,1.837,4.66,20.73,35.23,2.3,26.12,133,185,6,1.391,139.1,1.391,1.796,4.51,22.56,43.61,24.89
Rashid Khan,185,25,323,13,1.746,174.59,1.746,2.1,7.03,25.41,38.38,2.83,23.54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Manohar,182,16,231,15,1.269,126.92,1.269,1.665,8.24,17.03,38.46,2.06,26.62,18,12,1,0.667,66.67,0.667,1.283,5.56,11.11,66.67,23.0
SN Thakur,182,23,254,18,1.396,139.56,1.396,1.739,9.89,18.68,36.26,2.19,27.4,4,0,1,0.0,0.0,0.0,0.0,25.0,0.0,100.0,100.0
RV Uthappa,181,11,230,11,1.271,127.07,1.271,1.847,6.08,18.23,49.72,2.53,18.68,117,134,5,1.145,114.53,1.145,1.723,4.27,17.95,55.56,19.67
Atharva Taide,177,9,247,8,1.395,139.55,1.395,1.686,4.52,19.77,37.85,2.25,29.62,101,144,4,1.426,142.57,1.426,1.851,3.96,22.77,46.53,23.69
D Brevis,176,10,230,10,1.307,130.68,1.307,1.89,5.68,18.75,47.16,2.47,18.05,69,81,3,1.174,117.39,1.174,1.765,4.35,20.29,55.07,18.8
HC Brook,159,11,190,9,1.195,119.5,1.195,1.557,5.66,16.98,44.03,2.13,29.07,87,96,4,1.103,110.34,1.103,1.621,4.6,18.39,54.02,22.92
Kuldeep Yadav,153,23,131,7,0.856,85.62,0.856,1.32,4.58,9.8,51.63,1.77,28.89,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Fraser-McGurk,152,10,331,9,2.178,217.76,2.178,2.367,5.92,39.47,40.79,3.68,25.5,114,267,6,2.342,234.21,2.342,2.39,5.26,45.61,40.35,28.48
MS Wade,152,11,161,10,1.059,105.92,1.059,1.506,6.58,16.45,51.32,2.18,26.87,96,111,5,1.156,115.62,1.156,1.707,5.21,21.88,57.29,20.86
Ashutosh Sharma,149,10,255,8,1.711,171.14,1.711,2.048,5.37,23.49,33.56,2.58,24.48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA Pollard,146,11,144,12,0.986,98.63,0.986,1.584,8.22,10.27,51.37,2.03,20.24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW Billings,143,8,169,7,1.182,118.18,1.182,1.673,4.9,13.29,42.66,2.06,23.34,12,12,1,1.0,100.0,1.0,1.595,8.33,16.67,66.67,20.23
Sikandar Raza,143,9,182,7,1.273,127.27,1.273,1.641,4.9,13.99,41.26,2.17,27.8,9,8,0,0.889,88.89,0.889,0.928,0.0,0.0,44.44,50.87
WG Jacks,140,9,241,7,1.721,172.14,1.721,2.071,5.0,25.71,35.71,2.68,23.9,56,84,3,1.5,150.0,1.5,1.954,5.36,23.21,42.86,21.84
Washington Sundar,139,13,161,11,1.158,115.83,1.158,1.41,7.91,12.95,36.69,1.83,34.65,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Raghuvanshi,131,8,193,8,1.473,147.33,1.473,1.769,6.11,20.61,32.06,2.17,28.49,50,78,3,1.56,156.0,1.56,1.981,6.0,26.0,44.0,22.61
SN Khan,131,9,144,7,1.099,109.92,1.099,1.391,5.34,12.21,38.93,1.8,33.71,38,53,2,1.395,139.47,1.395,1.98,5.26,23.68,52.63,17.31
Harpreet Brar,126,18,149,12,1.183,118.25,1.183,1.632,9.52,15.87,43.65,2.1,25.24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD Hope,125,9,183,8,1.464,146.4,1.464,1.882,6.4,19.2,38.4,2.38,23.63,61,78,4,1.279,127.87,1.279,1.872,6.56,21.31,52.46,17.85
N Jagadeesan,124,8,129,7,1.04,104.03,1.04,1.478,5.65,15.32,49.19,2.05,27.55,61,63,4,1.033,103.28,1.033,1.591,6.56,18.03,57.38,21.72
PJ Cummins,124,16,199,11,1.605,160.48,1.605,2.003,8.87,22.58,39.52,2.65,23.09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramandeep Singh,115,14,176,6,1.53,153.04,1.53,1.916,5.22,18.26,34.78,2.35,24.27,4,2,0,0.5,50.0,0.5,0.577,0.0,0.0,50.0,61.51
SS Prabhudessai,113,10,126,9,1.115,111.5,1.115,1.563,7.96,13.27,49.56,2.21,26.12,13,8,0,0.615,61.54,0.615,1.121,0.0,7.69,61.54,30.61
Aman Hakim Khan,109,10,115,9,1.055,105.5,1.055,1.621,8.26,12.84,50.46,2.13,21.14,5,4,0,0.8,80.0,0.8,1.789,0.0,20.0,80.0,0.62
B Kumar,107,16,89,8,0.832,83.18,0.832,1.185,7.48,9.35,51.4,1.71,35.28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anmolpreet Singh,103,8,123,8,1.194,119.42,1.194,1.566,7.77,18.45,44.66,2.16,28.63,79,100,5,1.266,126.58,1.266,1.677,6.33,21.52,46.84,25.98
MW Short,99,6,117,6,1.182,118.18,1.182,1.716,6.06,19.19,52.53,2.49,21.33,84,107,4,1.274,127.38,1.274,1.832,4.76,22.62,54.76,19.41
Naman Dhir,96,8,157,7,1.635,163.54,1.635,1.979,7.29,23.96,37.5,2.62,24.89,37,38,4,1.027,102.7,1.027,1.691,10.81,18.92,62.16,16.56
RD Chahar,95,12,98,10,1.032,103.16,1.032,1.704,10.53,15.79,57.89,2.45,16.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harpreet Singh,93,5,103,4,1.108,110.75,1.108,1.514,4.3,13.98,44.09,1.98,28.15,29,30,0,1.034,103.45,1.034,1.679,0.0,17.24,58.62,17.46
SE Rutherford,85,3,79,4,0.929,92.94,0.929,1.51,4.71,10.59,51.76,1.93,21.73,12,4,0,0.333,33.33,0.333,0.651,0.0,0.0,75.0,51.15
PWH de Silva,78,12,71,10,0.91,91.03,0.91,1.311,12.82,10.26,50.0,1.82,31.36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT Yadav,76,14,86,7,1.132,113.16,1.132,1.676,9.21,13.16,47.37,2.15,21.37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PN Mankad,75,5,97,3,1.293,129.33,1.293,1.634,4.0,20.0,42.67,2.26,28.76,38,45,2,1.184,118.42,1.184,1.608,5.26,21.05,55.26,26.36
JD Unadkat,71,11,92,4,1.296,129.58,1.296,1.668,5.63,15.49,40.85,2.19,27.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,70,5,86,6,1.229,122.86,1.229,1.712,8.57,18.57,50.0,2.46,23.16,53,51,5,0.962,96.23,0.962,1.519,9.43,11.32,54.72,22.61
Arshad Khan,68,7,97,4,1.426,142.65,1.426,1.79,5.88,16.18,35.29,2.2,26.24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Shepherd,68,9,115,6,1.691,169.12,1.691,2.167,8.82,25.0,42.65,2.95,19.49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR Shokeen,67,5,66,3,0.985,98.51,0.985,1.343,4.48,13.43,49.25,1.94,32.36,5,1,0,0.2,20.0,0.2,0.447,0.0,0.0,80.0,62.73
HV Patel,67,13,62,9,0.925,92.54,0.925,1.682,13.43,13.43,61.19,2.38,12.66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Jansen,67,10,66,6,0.985,98.51,0.985,1.398,8.96,10.45,44.78,1.78,29.58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K Rabada,66,12,68,6,1.03,103.03,1.03,1.673,9.09,13.64,53.03,2.19,17.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Santner,66,10,49,6,0.742,74.24,0.742,1.086,9.09,7.58,51.52,1.53,37.69,27,20,2,0.741,74.07,0.741,1.318,7.41,11.11,66.67,24.27
TA Boult,65,16,71,5,1.092,109.23,1.092,1.411,7.69,10.77,40.0,1.82,32.56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ Willey,64,5,53,3,0.828,82.81,0.828,1.267,4.69,10.94,56.25,1.89,30.7,12,6,0,0.5,50.0,0.5,1.168,0.0,8.33,75.0,22.15
E Lewis,60,5,73,3,1.217,121.67,1.217,1.728,5.0,18.33,48.33,2.35,22.04,14,11,2,0.786,78.57,0.786,1.424,14.29,14.29,64.29,20.26
JO Holder,58,11,70,8,1.207,120.69,1.207,1.962,13.79,15.52,50.0,2.41,11.08,14,8,1,0.571,57.14,0.571,1.453,7.14,14.29,85.71,7.57
PK Garg,56,4,68,5,1.214,121.43,1.214,1.498,8.93,12.5,37.5,1.94,32.35,34,34,3,1.0,100.0,1.0,1.435,8.82,8.82,50.0,28.23
T Kohler-Cadmore,54,3,48,3,0.889,88.89,0.889,1.513,5.56,14.81,61.11,2.29,19.9,51,47,2,0.922,92.16,0.922,1.547,3.92,15.69,60.78,19.48
R Dhawan,53,6,57,3,1.075,107.55,1.075,1.708,5.66,15.09,54.72,2.38,17.71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF Smith,50,6,51,3,1.02,102.0,1.02,1.835,6.0,12.0,58.0,2.43,9.16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azmatullah Omarzai,49,5,58,5,1.184,118.37,1.184,1.667,10.2,14.29,42.86,2.07,23.67,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG Bracewell,49,4,58,2,1.184,118.37,1.184,1.424,4.08,14.29,34.69,1.81,34.78,2,2,0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0
Vivrant Sharma,49,1,69,1,1.408,140.82,1.408,1.719,2.04,22.45,36.73,2.23,28.62,24,27,0,1.125,112.5,1.125,1.569,0.0,20.83,50.0,26.16
RV Patel,47,5,55,4,1.17,117.02,1.17,1.404,8.51,10.64,27.66,1.62,35.32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sameer Rizvi,47,6,55,5,1.17,117.02,1.17,1.619,10.64,14.89,46.81,2.2,25.38,4,4,1,1.0,100.0,1.0,2.0,25.0,25.0,75.0,0.0
K Gowtham,46,8,61,5,1.326,132.61,1.326,1.898,10.87,15.22,43.48,2.35,18.4,2,0,1,0.0,0.0,0.0,0.0,50.0,0.0,100.0,100.0
A Nortje,45,10,42,4,0.933,93.33,0.933,1.321,8.89,13.33,48.89,1.83,31.66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Siraj,44,7,43,4,0.977,97.73,0.977,1.691,9.09,15.91,61.36,2.53,14.47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Sams,40,10,38,8,0.95,95.0,0.95,1.663,20.0,10.0,55.0,2.11,14.7,7,1,1,0.143,14.29,0.143,0.378,14.29,0.0,85.71,66.93
Mandeep Singh,40,6,32,6,0.8,80.0,0.8,1.488,15.0,12.5,65.0,2.29,17.31,32,22,5,0.688,68.75,0.688,1.33,15.62,12.5,68.75,21.16
PP Chawla,37,10,40,6,1.081,108.11,1.081,1.552,16.22,10.81,43.24,1.9,25.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravi Bishnoi,37,12,24,6,0.649,64.86,0.649,0.919,16.22,2.7,54.05,1.41,44.23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
