batter,total_balls_faced,total_matches,total_runs,total_dismissals,run_rate,strike_rate,avg_runs_per_ball,std_dev_runs_per_ball,dismissal_rate_per_100,boundary_percentage,dot_ball_percentage,avg_runs_on_dismissal,consistency_score,powerplay_balls_faced,powerplay_total_runs,powerplay_dismissals,powerplay_run_rate,powerplay_strike_rate,powerplay_avg_runs_per_ball,powerplay_std_dev_runs_per_ball,powerplay_dismissal_rate_per_100,powerplay_boundary_percentage,powerplay_dot_ball_percentage,powerplay_consistency_score
V Kohli,1312,46,1780,41,1.357,135.67,1.357,1.63,3.12,17.38,33.92,2.05,30.86,624,863,16,1.383,138.3,1.383,1.734,2.56,20.99,41.03,27.23
Shubman Gill,1265,46,1832,43,1.448,144.82,1.448,1.638,3.4,18.74,30.75,2.09,33.08,593,798,18,1.346,134.57,1.346,1.669,3.04,20.91,40.81,28.87
JC Buttler,1193,43,1668,41,1.398,139.82,1.398,1.765,3.44,20.03,40.23,2.34,26.4,596,757,20,1.27,127.01,1.27,1.782,3.36,20.64,50.84,21.5
RD Gaikwad,1160,44,1594,39,1.374,137.41,1.374,1.675,3.36,17.93,35.26,2.12,29.43,622,834,17,1.341,134.08,1.341,1.705,2.73,20.26,42.28,27.15
F du Plessis,1156,46,1665,45,1.44,144.03,1.44,1.742,3.89,19.98,35.29,2.23,28.62,628,892,21,1.42,142.04,1.42,1.847,3.34,23.73,45.06,23.69
KL Rahul,1117,37,1410,33,1.262,126.23,1.262,1.582,2.95,15.31,36.17,1.98,30.06,534,613,11,1.148,114.79,1.148,1.619,2.06,15.92,46.44,24.62
SV Samson,966,47,1417,40,1.467,146.69,1.467,1.84,4.14,20.81,37.06,2.33,25.4,259,377,6,1.456,145.56,1.456,1.901,2.32,26.64,49.42,22.59
Ishan Kishan,954,44,1298,42,1.361,136.06,1.361,1.743,4.4,20.55,40.99,2.31,26.15,605,817,18,1.35,135.04,1.35,1.817,2.98,22.48,47.44,22.7
YBK Jaiswal,889,40,1319,37,1.484,148.37,1.484,1.839,4.16,24.41,41.84,2.55,25.95,535,816,19,1.525,152.52,1.525,1.933,3.55,28.41,48.79,23.45
Tilak Varma,856,39,1187,29,1.387,138.67,1.387,1.731,3.39,17.76,35.28,2.14,27.46,95,117,3,1.232,123.16,1.232,1.716,3.16,17.89,46.32,23.09
DA Warner,837,34,1116,30,1.333,133.33,1.333,1.706,3.58,20.67,42.29,2.31,26.9,461,649,14,1.408,140.78,1.408,1.879,3.04,25.6,50.33,21.98
B Sai Sudharsan,814,26,1108,22,1.361,136.12,1.361,1.597,2.7,16.95,32.06,2.0,32.36,272,297,3,1.092,109.19,1.092,1.511,1.1,14.71,47.06,27.77
HH Pandya,795,43,1049,33,1.319,131.95,1.319,1.599,4.15,16.35,34.09,2.0,31.08,136,141,4,1.037,103.68,1.037,1.437,2.94,16.18,52.21,29.44
S Dhawan,795,30,985,27,1.239,123.9,1.239,1.613,3.4,17.86,42.39,2.15,27.98,422,500,15,1.185,118.48,1.185,1.652,3.55,18.96,50.0,24.37
RG Sharma,789,45,1017,44,1.289,128.9,1.289,1.833,5.58,20.41,49.18,2.54,19.91,568,730,28,1.285,128.52,1.285,1.899,4.93,21.13,53.17,16.92
SA Yadav,786,36,1282,33,1.631,163.1,1.631,1.865,4.2,24.05,33.46,2.45,29.13,137,193,3,1.409,140.88,1.409,1.772,2.19,21.17,43.07,26.43
N Pooran,772,43,1238,28,1.604,160.36,1.604,1.982,3.63,22.41,35.36,2.48,23.88,28,44,1,1.571,157.14,1.571,2.3,3.57,28.57,57.14,10.55
Abhishek Sharma,754,42,1160,42,1.538,153.85,1.538,1.891,5.57,23.47,38.86,2.52,25.52,489,739,22,1.511,151.12,1.511,1.894,4.5,25.15,43.56,24.59
