===== MATCH 1527688 =====
match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,0.1,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,FH Allen,Mohammed Shami,1,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,0.2,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,0.3,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,0.4,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,0.5,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Mohammed Shami,1,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,0.6,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,FH Allen,Mohammed Shami,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.1,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Prince Yadav,0,1,1.0,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.2,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Prince Yadav,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.3,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Prince Yadav,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.4,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Prince Yadav,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.5,Kolkata Knight Riders,Lucknow Super Giants,FH Allen,AM Rahane,Prince Yadav,0,0,,,,,,caught,FH Allen,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.6,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Prince Yadav,1,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,1.7,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,Prince Yadav,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,2.1,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,2.2,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,2.3,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,2.4,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Mohammed Shami,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,2.5,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Mohammed Shami,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,2.6,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Mohammed Shami,1,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.1,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,M Siddharth,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.2,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,M Siddharth,0,2,2.0,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.3,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,M Siddharth,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.4,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,M Siddharth,6,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.5,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,M Siddharth,1,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.6,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,M Siddharth,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,3.7,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,M Siddharth,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,4.1,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,DS Rathi,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,4.2,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,DS Rathi,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,4.3,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,DS Rathi,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,4.4,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,DS Rathi,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,4.5,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,DS Rathi,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,4.6,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,DS Rathi,2,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,5.1,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Avesh Khan,0,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,5.2,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Avesh Khan,0,1,,,,1.0,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,5.3,Kolkata Knight Riders,Lucknow Super Giants,AM Rahane,A Raghuvanshi,Avesh Khan,1,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,5.4,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Avesh Khan,4,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,5.5,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Avesh Khan,6,0,,,,,,,,,
1527688,2026,2026-04-09,"Eden Gardens, Kolkata",1,5.6,Kolkata Knight Riders,Lucknow Super Giants,A Raghuvanshi,AM Rahane,Avesh Khan,4,0,,,,,,,,,

===== MATCH 1527689 =====
match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,0.1,Royal Challengers Bengaluru,Rajasthan Royals,PD Salt,V Kohli,JC Archer,0,0,,,,,,caught,PD Salt,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,0.2,Royal Challengers Bengaluru,Rajasthan Royals,D Padikkal,V Kohli,JC Archer,0,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,0.3,Royal Challengers Bengaluru,Rajasthan Royals,D Padikkal,V Kohli,JC Archer,4,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,0.4,Royal Challengers Bengaluru,Rajasthan Royals,D Padikkal,V Kohli,JC Archer,4,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,0.5,Royal Challengers Bengaluru,Rajasthan Royals,D Padikkal,V Kohli,JC Archer,1,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,0.6,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,JC Archer,4,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.1,Royal Challengers Bengaluru,Rajasthan Royals,D Padikkal,V Kohli,N Burger,4,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.2,Royal Challengers Bengaluru,Rajasthan Royals,D Padikkal,V Kohli,N Burger,1,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.3,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,N Burger,0,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.4,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,N Burger,4,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.5,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,N Burger,0,5,5.0,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.6,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,N Burger,0,4,,,4.0,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,1.7,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,N Burger,1,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,2.1,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,JC Archer,4,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,2.2,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,JC Archer,0,0,,,,,,,,,
1527689,2026,2026-04-10,"Barsapara Cricket Stadium, Guwahati",1,2.3,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,D Padikkal,JC Archer,4,0,,,,,,,,,
