match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.1,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.2,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,4,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.3,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,2,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.4,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.5,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,B Kumar,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.6,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.1,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,JR Hazlewood,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.2,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,JR Hazlewood,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.3,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,JR Hazlewood,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.4,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,JR Hazlewood,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.5,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,JR Hazlewood,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.6,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,JR Hazlewood,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.1,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.2,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.3,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.4,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,B Kumar,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.5,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.6,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,B Kumar,6,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.1,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,Rasikh Salam,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.2,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,Rasikh Salam,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.3,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,Rasikh Salam,6,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.4,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,Rasikh Salam,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.5,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,AK Markram,Rasikh Salam,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.6,Lucknow Super Giants,Royal Challengers Bengaluru,AK Markram,MR Marsh,Rasikh Salam,0,0,,,,,,caught,AK Markram,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,4.1,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,RR Pant,JR Hazlewood,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,4.2,Lucknow Super Giants,Royal Challengers Bengaluru,RR Pant,MR Marsh,JR Hazlewood,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,4.3,Lucknow Super Giants,Royal Challengers Bengaluru,RR Pant,MR Marsh,JR Hazlewood,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,4.4,Lucknow Super Giants,Royal Challengers Bengaluru,RR Pant,MR Marsh,JR Hazlewood,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,4.5,Lucknow Super Giants,Royal Challengers Bengaluru,N Pooran,MR Marsh,JR Hazlewood,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,4.6,Lucknow Super Giants,Royal Challengers Bengaluru,N Pooran,MR Marsh,JR Hazlewood,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,5.1,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,N Pooran,Rasikh Salam,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,5.2,Lucknow Super Giants,Royal Challengers Bengaluru,MR Marsh,N Pooran,Rasikh Salam,1,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,5.3,Lucknow Super Giants,Royal Challengers Bengaluru,N Pooran,MR Marsh,Rasikh Salam,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,5.4,Lucknow Super Giants,Royal Challengers Bengaluru,N Pooran,MR Marsh,Rasikh Salam,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,5.5,Lucknow Super Giants,Royal Challengers Bengaluru,N Pooran,MR Marsh,Rasikh Salam,0,0,,,,,,,,,
1529266,2026,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",1,5.6,Lucknow Super Giants,Royal Challengers Bengaluru,N Pooran,MR Marsh,Rasikh Salam,1,0,,,,,,,,,
